Antigen,Color
Victoria,#393b79
Victoria-ps,#393b79
D614G,#393b79
614D,#393b79
WA1,#393b79
B.1,#393b79
B.1+P681R,#393b79
Bavpat1,#393b79
N501Y+D614G,#393b79
B.1.1.7,#637939
B.1.617.2,#d18652
B.1.429,#9B9FD9
P.1,#b471ab
P.1.1,#b471ab
B.1.526,#b8bf58
B.1.526_E484K,#9ab370
B.1.526+E484K,#9ab370
B.1.526 (E484K),#9ab370
B.1.526.E484K,#9ab370
P.2,#be7cf8
B.1.617.1,#ad494a
B.1.617.1-ps,#ad494a
B.1.351,#e7ba52
L452R,red
L452R.E484Q,violet
E484Q,blue
E484K,cyan
B.1.351_N417K,#e7ba52
P.1_T417K,#7b4173
B.1.429_K417N,#9B9FD9
B.1.617.1_K417N,#ad494a
B.1.1.7_E484K,#a1cdb2
Bristol,#a1cdb2
B.1.617.2_K417N,#d18652
B.1.617.2+K417N,#d18652
B.1.1.7+E484K,#637939
B.1.621,#0096ad
C.36.3,#ed928c
B.1.526+S477N,#72b370
B.1.526_S477N,#72b370
B.1.526 (S477),#72b370
C.37,#79c9c9
B.1.525,#c03bf5
B.1.630,#79f53b
R.1,#f2f53b
A.23.1,#3bf5f5
WT vac AstraZeneca,grey
WT vac protein,grey
WT vac mRNA,grey
D614G convalescent,#333333
WT convalescent,#333333
B.1.1.7 convalescent,#637939
P.1 convalescent,#7b4173
B.1.351 convalescent,#e7ba52
C.37 convalescent,#79c9c9
B.1.617.1 convalescent,#ad494a
B.1.617.2 convalescent,#d18652
B.1.526 convalescent,#b8bf58
B.1.526+E484K convalescent,#9ab370
B.1.637 convalescent,#456C8C
B.1.429 convalescent,#9B9FD9
B.1.621 convalescent,#0096ad
R.1 convalescent,#f2f53b
B.1.1.529,#EF3737
B.1.1.519,#57E2B2
BV-1,#13962B
P.3,#E952C2
A.VOI.V2,#85E257
AY.1,#d18652
BA.1,#EF3737
BA.2,#5B004C
CB.1,#5B004C
BR.3,#5B004C
CH.1.1,#5B004C
BA.5.3.2,#077e97
BA.5,#077e97
BE.1.1,#077e97
BA.5.2.1,#077e97
BF.7,#077e97
BQ.1.3,#077e97
BQ.1.1,#077e97
BQ.1.18,#077e97
XBB.1,#ff6000
XBB.1.5,#ff6000
XBF,#00b32dff
